first_name,middle_name,last_name,address,city,state,zip_code,phone,email,Original
Jose,Amanda,Benson,22449 Amy Cove,New Jennifershire,Tennessee,97299,+1-592-975-2783,crystalsmall@example.net,Y
Vanessa,Donna,Trevino,855 Young Falls Apt. 735,West Kathy,Washington,97469,576-646-5182x951,rcox@example.net,Y
Danielle,Joseph,Barker,18553 Jesse Loop Suite 367,West Amyberg,North Carolina,40878,832-384-7900x6323,williamsmelanie@example.com,Y
Lauren,,Grant,942 Hardin Falls Apt. 809,New Angelafort,New Mexico,96233,273-604-8183x879,alexis90@example.net,Y
Brian,Elizabeth,Price,898 Mason Vista Apt. 292,Comptonbury,Iowa,91096,574-820-8203x7970,carpenterjulie@example.com,Y
David,Bobby,Bishop,421 Mason Corners,North Sharon,Delaware,42466,+1-802-344-2083x67774,rrobertson@example.com,Y
Jose,Amy,Benson,22449 Amy Cove,New Jennifershire,,97299,+1-592-975-2783,crystalsmall@example.net,N
Vanessa,Donna,Trevino,855 Young Falls Apt. 735,West Kathy,Washington,97469,,rcox@example.net,N
Danielle,J,Barker,18553 Jesse Loop STE 367,Amyberg,North Carolina,40878,832-384-7900,williamsmelanie@yahoo.com,N
Lauren,Dan,Grant,942 Hardin Falls # 809,New Angelafort,,96233,273-604-8183x879,douglasdiaz@example.com ,N
Brian,Elizabeth,Price,898 Mason Vista # 292,Comptonbury,Iowa,91096,574-820-8203x7970,brucegomez@example.org ,N
Julie,Julia,Christian,15056 Bentley Junctions Apt. 886,North Adam,Alabama,73649,629.365.6091x26392,summersfrank@example.net,Y
Monique,Christopher,Watson,20751 Medina Parkways Apt. 638,Lake Thomas,Missouri,51246,(734)243-2433,thomascain@example.org,Y
Carol,Kristina,Larson,869 Vargas Mountain,Smithchester,Virginia,77053,001-946-570-4900x72830,dennistaylor@example.org,Y
James,Rachel,Moore,2824 Raymond Road Suite 161,Cartermouth,Massachusetts,78698,9786234190,sjimenez@example.org,Y
Dan,Peggy,Dean,5919 Ortiz Meadows,Duncanchester,,68357,+1-459-889-4307x85569,danielle18@example.com,Y
Kristen,Stacey,Hardin,916 Sean Loaf Apt. 999,Christineville,Georgia,90820,(794)569-4626x8484,mortondaniel@example.net,Y
Daniel,Peggy,Dean,5919 Ortiz Meadows,Duncanchester,Maine,68357,459-889-4307x85569,danielle18@example.com,N
Kristen,Stacey,Hardin,916 Sean Loaf # 999,,,,001-769-461-6638,mortondaniel@example.net ,N
Martin,Heather,Gutierrez,691 Frye Way Apt. 724,Mandyland,Arkansas,00755,367.530.0431x9143,karenknight@example.net,Y
Elizabeth,Christopher,Cooper,374 John Grove,Tracyborough,Iowa,60707,235.357.7690x8869,taylordebra@example.org,Y
Nathan,Amy,Fields,742 Alicia Fords,Jordanhaven,Nevada,74013,762-800-9275,jasonmitchell@example.com,Y
