first_name,middle_name,last_name,address,city,state,zip_code,phone,email,Original
Jose,Amanda,Benson,22449 Amy Cove,New Jennifershire,Tennessee,97299,+1-592-975-2783,crystalsmall@example.net,Y
Vanessa,Donna,Trevino,855 Young Falls Apt. 735,West Kathy,Washington,97469,576-646-5182x951,rcox@example.net,Y
Danielle,Joseph,Barker,18553 Jesse Loop Suite 367,West Amyberg,North Carolina,40878,832-384-7900x6323,williamsmelanie@example.com,Y
Lauren,,Grant,942 Hardin Falls Apt. 809,New Angelafort,New Mexico,96233,273-604-8183x879,alexis90@example.net,Y
Brian,Elizabeth,Price,898 Mason Vista Apt. 292,Comptonbury,Iowa,91096,574-820-8203x7970,carpenterjulie@example.com,Y
David,Bobby,Bishop,421 Mason Corners,North Sharon,Delaware,42466,+1-802-344-2083x67774,rrobertson@example.com,Y
Jose,Amanda,Benson,22449 Amy Cove,New Jennifershire,,,, ,N
Danielle,J,Barker,18553 Jesse Loop STE 367,,North Carolina,40878,322.331.9676x680, ,N
Lauren,Dan,Grant,942 Hardin Falls # 809,New Angelafort,,96233,273-604-8183x879,douglasdiaz@example.com ,N
Brian,Elizabeth,Price,898 Mason Vista # 292,Comptonbury,,91096,574-820-8203x7970,brucegomez@example.org ,N
Julie,Julia,Christian,15056 Bentley Junctions Apt. 886,North Adam,Alabama,73649,629.365.6091x26392,summersfrank@example.net,Y
Monique,Christopher,Watson,20751 Medina Parkways Apt. 638,Lake Thomas,Missouri,51246,(734)243-2433,thomascain@example.org,Y
Carol,Kristina,Larson,869 Vargas Mountain,Smithchester,Virginia,77053,001-946-570-4900x72830,dennistaylor@example.org,Y
James,Rachel,Moore,2824 Raymond Road Suite 161,Cartermouth,Massachusetts,78698,9786234190,sjimenez@example.org,Y
